Project Name,Cluster Name,Project Type,City,County,State,Digester Type,Status,Year Operational,Animal/Farm Type(s), Cattle , Dairy , Poultry , Swine ,Co-Digestion, Biogas Generation Estimate (cu-ft/day) , Electricity Generated (kWh/yr) ,Biogas End Use(s),LCFS Pathway,System Designer(s)/Developer(s) and Affiliates,Receiving Utility, Total Emission Reductions (MTCO2e/yr) ,Awarded USDA Funding?
Sheland Farms Digester,,Farm Scale,Adams,Jefferson,NY,Complete Mix,Operational,2007,Dairy,, 625 ,,,," 36,000 "," 381,240 ",Cogeneration,,"Penn Jersey Products [System Designer]; Siemens [System Designer, System Design Engineer]; Stanley A. Weeks, LLC [System Designer, System Design Engineer]; Stearns & Wheeler [System Designer]",Niagra Mohawk grid," 1,889 ",Y
Spruce Haven Farm Digester,,Centralized/Regional,Union Springs,Cayuga,NY,Mixed Plug Flow,Operational,2014,Dairy,," 3,360 ",,,,," 2,749,000 ",Electricity,Yes,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Larsen Engineers [System Designer, System Design Engineer]",NYSEG," 30,968 ",
Sunny Knoll Farm Digester,,Farm Scale,Perry,Wyoming,NY,Horizontal Plug Flow,Operational,2006,Dairy,," 1,800 ",,,," 111,400 "," 1,226,400 ",Cogeneration,Yes,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",New York State Electric and Gas (NYSEG)," 13,993 ",Y
Sunnyside Farms Digester,,Farm Scale,Scipio Center,Cayuga,NY,Mixed Plug Flow,Operational,2009,Dairy,," 3,200 ",,,,," 6,615,552 ",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 13,703 ",
Swiss Valley Farms Digester,,Farm Scale,Warsaw,Wyoming,NY,Mixed Plug Flow,Operational,2009,Dairy,, 850 ,,,," 132,000 "," 2,102,400 ",Electricity,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",New York State Electric and Gas (NYSEG)," 3,886 ",
Swiss Valley Farms Digester: Brightmark RNG,,Farm Scale,Warsaw,Wyoming,NY,Mixed Plug Flow,Construction,2021,Dairy,," 1,840 ",,,," 132,000 ",,Pipeline Gas,,"Brightmark [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Empire interstate gas pipeline," 5,773 ",
Synergy Dairy - Covington Digester,,Multiple Farm/Facility,Covington,Wyoming,NY,Complete Mix,Operational,2011,Dairy,," 2,000 ",,,Agricultural Residues; Food Wastes," 269,800 "," 16,910,000 ",Electricity,Yes,"Bigadan A/S [System Designer]; CH Four Biogas, Inc. [System Designer]; CH4 Biogas, LLC [Project Developer]",," 17,676 ",
Twin Birch Dairy Digester,,Farm Scale,Skaneateles,Cayuga,NY,Horizontal Plug Flow,Operational,2003,Dairy,," 1,900 ",,,Process Water," 100,000 "," 420,480 ",Electricity; Boiler/Furnace fuel,,"Anaerobics, Inc. [System Designer]",National Grid," 4,256 ",
Wagner Farms Digester,,Farm Scale,Poestenkill,Rensselear,NY,Complete Mix,Operational,2010,Dairy,, 350 ,,,,," 876,000 ",Cogeneration,,"CH Four Biogas, Inc. [Project Developer, System Designer]",National Grid," 1,608 ",
Walker Farms LLC Digester,,Farm Scale,Fort Ann,Washington,NY,Complete Mix,Operational,2012,Dairy,," 1,350 ",,,Process Water," 99,165 "," 1,396,096 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",National Grid," 4,786 ",Y
Willet Dairy Digester,,Farm Scale,King Ferry,Cayuga,NY,Mixed Plug Flow,Operational,2012,Dairy,," 3,500 ",,,,," 7,446,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 35,526 ",
Willet Dairy Digester: Brightmark RNG,Brightmark Helios,Farm Scale,King Ferry,Cayuga,NY,Mixed Plug Flow,Construction,2021,Dairy,," 3,500 ",,,,,,Pipeline Gas,Yes,"Brightmark [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 34,418 ",
Will-O-Crest Farm Digester,,Farm Scale,Clifton Springs,Ontario,NY,Covered Lagoon,Operational,2009,Dairy,," 1,050 ",,,," 84,000 ",,Flared Full-time,Yes,"ClimeCo Corporation [Project Developer, System Designer]; Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]",," 9,092 ",
Woodcrest Dairy Digester,,Farm Scale,Ogdensburg,St. Lawrence,NY,Complete Mix,Operational,2015,Dairy,," 6,000 ",,,," 630,000 ",,Cogeneration,Yes,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer, Construction & Installation]",," 19,251 ",Y
Zuber Farms Digester,,Farm Scale,Byron,Genesee,NY,Complete Mix,Operational,2009,Dairy,," 1,800 ",,,Dairy Processing Wastes; Food Wastes; Process Water," 116,328 "," 2,102,400 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",National Grid," 6,160 ",Y
Zuber Farms Digester: Brightmark RNG,,Farm Scale,Byron,Genesee,NY,Complete Mix,Construction,2021,Dairy,," 1,800 ",,,Dairy Processing Wastes; Food Wastes; Process Water," 116,328 ",,Pipeline Gas,,"Brightmark [Project Developer]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Empire interstate gas pipeline," 6,653 ",
"Bridgewater Dairy, LLC Digester",,Farm Scale,Montpelier,Williams,OH,Mixed Plug Flow,Operational,2008,Dairy,," 3,350 ",,,," 429,000 "," 3,100,000 ",Cogeneration,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]","Buckeye Power, Inc."," 29,045 ",Y
Green Top Acres Digester,,Farm Scale,Haviland,Paulding,OH,Mixed Plug Flow,Operational,2011,Dairy,," 2,100 ",,,,," 2,860,000 ",Electricity,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 19,570 ",Y
Miedema Dairy Digester,,Farm Scale,Circleville,Pickaway,OH,Covered Lagoon,Operational,2009,Dairy,," 1,000 ",,,,,,Flared Full-time,Yes,"ClimeCo Corporation [Project Developer, System Designer]; Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]",," 8,372 ",Y
Mill Creek Dairy Digester,,Farm Scale,West Unity,Williams,OH,Complete Mix,Operational,2012,Dairy,," 1,810 ",,,Food Wastes; Process Water,," 2,978,400 ",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Pennsylvania Electric Company (Penelec)," 7,708 ",Y
"REnergy - Dovetail Energy, LLC Digester",,Farm Scale,Fairborn,Greene,OH,Complete Mix,Operational,2013,Swine,,,," 5,000 ",Food Wastes; Other Feedstocks,,,Electricity,,"REnergy, Inc. (formerly Ringler Energy) [Project Developer]",," 4,273 ",Y
Renergy - Emerald BioEnergy Digester,,Farm Scale,Cardington,Morrow,OH,Complete Mix,Operational,2013,Swine,,,," 7,000 ",Food Wastes; Other Feedstocks," 200,919 "," 7,008,000 ",Electricity; Boiler/Furnace fuel; CNG,,"quasar energy group, LLC. [Project Developer, System Designer, System Design Engineer]; REnergy, Inc. (formerly Ringler Energy) [Project Developer]",Consolidated Electric Cooperative," 7,561 ",Y
Wenning Poultry Farm Digester,,Farm Scale,Ft Recovery,Mercer,OH,Mixed Plug Flow,Operational,2008,Poultry,,," 1,200,000 ",,Other Feedstocks,," 7,008,000 ",Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]","Buckeye Power, Inc."," 45,223 ",Y
Seaboard Foods Wakefield Farm Digester,,Farm Scale,Turpin,Beaver,OK,Covered Lagoon,Operational,2002,Swine,,,," 26,500 ",,,,Boiler/Furnace fuel,,,," 30,263 ",
Farm Power Misty Meadow Digester,,Farm Scale,Tillamook,Tillamook,OR,Mixed Plug Flow,Operational,2013,Dairy,," 2,500 ",,,Other Feedstocks,," 5,700,000 ",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Regenis [System Designer, Construction & Installation]",Pacific Power & Light (PacifCorp)," 23,385 ",Y
Farm Power Tillamook Digester,,Multiple Farm/Facility,Tillamook,Tillamook,OR,Mixed Plug Flow,Operational,2012,Dairy,," 2,000 ",,,Other Feedstocks,," 8,234,400 ",Electricity,,"DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]; Farm Power Northwest, LLC [Project Developer]; Regenis [System Designer, Construction & Installation]",Tillamook People's Utility District (TPUD)," 21,329 ",Y
RES Ag Lochmead LLC Digester,,Farm Scale,Junction City,Lane,OR,Anaerobic Sequencing Batch Reactor,Operational,2010,Dairy,," 1,027 ",,,,," 1,500,000 ",Electricity,,"Bio-Terre Systems, Inc. [System Designer, System Design Engineer]; Revolution Energy Solutions, LLC [Project Developer, System Designer]",Emerald People's Utility District," 7,302 ",
RES Ag Oak Lea LLC Digester,,Farm Scale,Aumsville,Marion,OR,Anaerobic Sequencing Batch Reactor,Operational,2012,Dairy,, 750 ,,,,," 1,228,590 ",Electricity; Cogeneration,,"Bio-Terre Systems, Inc. [System Designer, System Design Engineer]; Revolution Energy Solutions, LLC [Project Developer, System Designer]",Pacific Power," 5,385 ",
RES Forest Glen Oaks LLC Digester,,Farm Scale,Dayton,Yamhill,OR,Anaerobic Sequencing Batch Reactor,Operational,2012,Dairy,," 2,540 ",,,,," 3,100,000 ",Electricity; Cogeneration,,"Bio-Terre Systems, Inc. [System Designer, System Design Engineer]; Revolution Energy Solutions, LLC [Project Developer, System Designer]",PGE," 19,832 ",
Threemile Canyon Farms Digester,,Farm Scale,Boardman,Morrow,OR,Mixed Plug Flow,Operational,2012,Dairy,," 33,000 ",,,,,,Pipeline Gas,Yes,"Industrial & Environmental Concepts, Inc. (IEC) [Biogas Membrane Supplier]; Swaggart Brothers [Construction & Installation]; Threemile BioEnergy LLC [System Design Engineer]; TMF Biofuels LLC [Project Developer, System Designer]",," 290,487 ",
Air Liquide RNG Digester,,Multiple Farm/Facility,Center Township,Indiana,PA,Complete Mix,Construction,2024,Dairy,," 6,000 ",,,,,,Pipeline Gas,,Air Liquide Biogas [Project Developer],," 6,508 ",
Ar-Joy Farm Digester,,Farm Scale,Cochranville,Chester,PA,Mixed Plug Flow,Operational,2018,Dairy,, 825 ,,,Other Feedstocks,,,Electricity,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer]",PECO," 4,277 ",
Bortnick Dairy Digester,,Farm Scale,Conneautville,Crawford,PA,Complete Mix,Operational,2009,Dairy,," 1,600 ",,,Food Wastes; Process Water," 247,000 "," 3,225,000 ",Cogeneration,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Wilson Engineering Services, PC [System Designer, System Design Engineer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 7,125 ",Y
Brookside Dairy Digester,,Farm Scale,Homer City,Indiana,PA,Horizontal Plug Flow,Operational,2006,Dairy,, 425 ,,,Food Wastes," 33,000 "," 334,719 ",Cogeneration,,"Jim Resh Engineering [System Designer, System Design Engineer]; Team Ag [Project Developer, System Designer]",," 1,520 ",
Brubaker Farms Digester,,Farm Scale,Mount Joy,Lancaster,PA,Complete Mix,Operational,2007,Dairy,," 1,225 ",,,Food Wastes; Process Water," 90,000 "," 1,025,303 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]; Team Ag [Project Developer, System Designer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 3,416 ",Y
David High Digester,,Farm Scale,Selinsgrove,Schuykill,PA,Vertical Plug Flow,Operational,1998,Swine,,,," 1,200 ",,," 163,812 ",Cogeneration,,"Orgo Systems [Project Developer, System Designer, System Design Engineer]",, 539 ,
Dovan Farms Digester,,Farm Scale,Berlin,Somerset,PA,Horizontal Plug Flow,Operational,2006,Dairy,, 400 ,,,Food Wastes; Process Water," 44,214 "," 157,108 ",Cogeneration,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Environomics [System Designer]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",CCS/Allegheny Electrical Cooperative," 1,318 ",Y
Four Winds Farm Digester,,Farm Scale,Ulysses,Potter,PA,Horizontal Plug Flow,Operational,2006,Dairy,, 650 ,,,," 40,930 "," 1,103,760 ",Cogeneration,,"Environomics [System Designer, Construction & Installation]; Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]",," 2,545 ",Y
Hard Earned Acres Digester,,Farm Scale,Shippensburg,Cumberland,PA,Complete Mix,Operational,2013,Dairy,, 800 ,,,Food Wastes; Process Water," 66,997 "," 1,100,000 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, Construction & Installation]; Red Barn Consulting [System Design Engineer]",Pennsylvania Electric Company (Penelec)," 2,945 ",Y
Hillcrest Saylors Farm Digester,,Farm Scale,Rockwood,Somerset,PA,Horizontal Plug Flow,Operational,2007,Dairy,, 600 ,,,," 49,054 "," 1,200,000 ",Cogeneration,,"Shawn Saylor [System Designer]; Team Ag [Project Developer, System Design Engineer]","Allegheny Electric Cooperative, Somerset Rural Electric Company"," 2,665 ",
Ideal Family Farms Digester,,Farm Scale,Beavertown,Snyder,PA,Complete Mix,Operational,2011,Swine,,,," 14,000 ",Food Wastes,," 1,340,280 ",Cogeneration,Yes,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer, Construction & Installation]",," 12,520 ",Y
Kish-View Farms Digester,,Farm Scale,Belleville,Mifflin,PA,Complete Mix,Operational,2011,Dairy,, 350 ,,,,," 480,000 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer, Construction & Installation]",," 1,398 ",
Kurtz Valley Holsteins Digester,,Farm Scale,Mifflintown,Juniata,PA,Complete Mix Mini Digester,Operational,2019,Dairy,, 340 ,,,,," 1,182,600 ",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]; Team Ag [System Design Engineer]",," 3,658 ",
Landyshade Farms Digester,,Farm Scale,Lancaster,Lancaster,PA,Complete Mix,Operational,2010,Dairy,, 700 ,,,Food Wastes,," 1,226,400 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer, Construction & Installation]; Team Ag [Project Developer, System Designer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 2,461 ",
Mains Farm Digester,,Farm Scale,Newville,Cumberland,PA,Complete Mix,Operational,2006,Dairy,, 915 ,,,Dairy Processing Wastes,," 833,000 ",Cogeneration,,"Environmental Management Group International, Inc. (EMG) [Project Developer, System Designer]",," 3,232 ",
Mason Dixon Farms Digester,,Farm Scale,Gettysburg,Adams,PA,Horizontal Plug Flow,Operational,1979,Dairy,," 2,300 ",,,,," 4,467,600 ",Cogeneration,,"Bert and Dick Waybright [System Designer, System Design Engineer]",," 22,228 ",
Mor-Dale Farms Digester,,Farm Scale,Bethel,Berks,PA,Complete Mix,Operational,2011,Dairy,, 500 ,,,Agricultural Residues,," 730,000 ",Electricity,,"Dr. Stan Weeks [System Designer, System Design Engineer]; Triple H Construction [System Designer, Construction & Installation]",," 2,028 ",
Oak Hill Farm Digester,,Farm Scale,Nottingham,Chester,PA,Complete Mix,Operational,2011,Cattle; Swine, 130 ,,," 4,400 ",Food Wastes,," 262,800 ",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer, Construction & Installation]",," 1,182 ",
Oregon Dairy Farm Digester,,Farm Scale,Manheim,Lancaster,PA,Complete Mix,Operational,1986,Dairy,, 400 ,,,Food Wastes,," 1,051,200 ",Cogeneration,,"Bert and Dick Waybright [System Designer, System Design Engineer]; Dr. Stan Weeks [System Designer, System Design Engineer]; Triple H Construction [Construction & Installation]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 4,061 ",
Penn England Farm Digester,,Farm Scale,Williamsburg,Blair,PA,Complete Mix,Operational,2006,Dairy,, 800 ,,,," 50,000 "," 1,261,440 ",Cogeneration,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]; Team Ag [Project Developer, System Designer]",Valley Rural Electric Co-op," 3,312 ",Y
Pennwood Farms Digester,,Farm Scale,Berlin,Somerset,PA,Complete Mix,Operational,2011,Dairy,, 600 ,,,," 30,363 "," 395,259 ",Electricity,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]; Team Ag [Project Developer, System Designer]",Pennsylvania Electric Company (Penelec)," 2,091 ",
Pine Hurst Acres Digester,,Farm Scale,Danville,Northumberland,PA,Complete Mix,Operational,2004,Swine,,,," 4,400 ",," 11,200 "," 66,430 ",Electricity,,"Penn State University [System Designer, System Design Engineer]; Schick Enterprises [System Designer, System Design Engineer]",," 1,597 ",
Reinford Farms Digester,,Farm Scale,Mifflintown,Juniata,PA,Complete Mix,Operational,2008,Dairy,, 750 ,,,Food Processing Wastes," 288,000 ",,Cogeneration,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [Project Developer]; Red Barn Consulting [System Designer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 5,680 ",Y
Reinford-Frymoyer Farm Digester,,Farm Scale,Mifflintown,Juniata,PA,Complete Mix,Operational,2013,Dairy,, 320 ,,,Food Wastes; Process Water," 78,765 "," 1,552,452 ",Electricity,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer, Construction & Installation]; Red Barn Consulting [Project Developer]; Team Ag [System Designer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 1,426 ",Y
Remley Farms Digester,,Farm Scale,Roaring Branch,Tioga,PA,Complete Mix,Operational,2018,Swine,,,," 8,800 ",Food Wastes,," 1,419,120 ",Electricity,Yes,"Industrial & Environmental Concepts, Inc. (IEC) [Biogas Membrane Supplier]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]; Team Ag [System Design Engineer]",Penelec," 4,111 ",Y
S & A Kreider Farms Digester,,Farm Scale,Quarryville,Lancaster,PA,Complete Mix,Operational,2011,Dairy,, 787 ,,,Food Wastes,," 1,401,600 ",Electricity,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer, Construction & Installation]",," 3,373 ",
Schrack Farms Digester,,Farm Scale,Loganton,Clinton,PA,Horizontal Plug Flow,Operational,2006,Dairy,, 650 ,,,," 85,000 "," 1,600,000 ",Cogeneration,,"Environomics [System Designer, Construction & Installation]; Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer]; Schrack Farms [Construction & Installation]; Team Ag [System Design Engineer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 3,101 ",
Sensenig Farm Digester,,Farm Scale,Kirkwood,Lancaster,PA,Complete Mix,Operational,2013,Dairy; Poultry; Swine,, 250 ," 33,000 "," 2,200 ",Food Wastes; Process Water," 49,093 "," 879,666 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer, Construction & Installation]; Red Barn Consulting [Project Developer, System Designer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 3,278 ",Y
Slate Ridge Farm Digester,,Farm Scale,St. Thomas,Franklin,PA,Covered Lagoon,Operational,2012,Dairy,, 790 ,,,,," 483,990 ",Cogeneration,,"ClimeCo Corporation [Project Developer, System Designer]",West Penn Power," 1,424 ",
Wanner's Pride-N-Joy Farm Digester,,Farm Scale,Narvon,Lancaster,PA,Complete Mix,Operational,2007,Dairy,, 400 ,,,Process Water," 60,561 "," 688,373 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]; Team Ag [Project Developer, System Designer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 1,697 ",Y
Yippee! Farms Digester,,Farm Scale,Mount Joy,Lancaster,PA,Complete Mix,Operational,2013,Dairy,," 1,100 ",,,Food Wastes; Process Water," 170,206 "," 3,354,762 ",Cogeneration,Yes,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer, Construction & Installation]; Red Barn Consulting [Project Developer, System Designer]",Pennsylvania Power and Light (PPL) Electric Utilities Corp.," 5,710 ",Y
Burrows Hall Farm Digester,,Farm Scale,Nesmith,Williamsburg,SC,Covered Lagoon,Operational,2011,Swine,,,," 9,600 ",,," 1,340,280 ",Cogeneration,,"Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]",Santee Cooper," 10,800 ",
Collins Chick Farm Digester,,Farm Scale,Lamar,Darlingon,SC,Horizontal Plug Flow,Operational,2013,Poultry,,," 150,000 ",,,," 4,020,840 ",Electricity,,"Green Energy Solutions [System Designer, System Design Engineer]",Santee Cooper," 8,583 ",
Pilgrim's Pride Sumter Digester,,Multiple Farm/Facility,Sumter,Sumter,SC,Covered Lagoon,Operational,2015,Poultry,,,,,Food Wastes,,,Cogeneration,,Brightmark [Project Developer],," 8,258 ",
Boadwine Farms Digester,Brightmark Athena,Farm Scale,Baltic,Minnehaha,SD,Complete Mix,Operational,2022,Dairy,," 3,595 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],," 34,951 ",
Drumgoon Dairy Digester,,Farm Scale,Lake Norden,Hamlin,SD,Complete Mix,Operational,2023,Dairy,," 6,500 ",,,,,,Pipeline Gas,,"Dynamic Group, LLC [Project Developer, System Designer, Construction & Installation]",," 63,193 ",
East Dakotas Renewable Energy Digester,,Multiple Farm/Facility,Beresford,Lincoln,SD,Complete Mix,Operational,2022,Dairy,," 15,000 ",,,,,,CNG,,DTE Vantage [Project Developer],Clean Energy Renewable Fuels," 128,718 ",
Full Circle Dairy Digester,,Farm Scale,Hurley,Turner,SD,Complete Mix,Operational,2024,Dairy,," 7,000 ",,,,,,Pipeline Gas,,"Brightmark [Project Developer]; Brooks Construction [Construction & Installation]; Stockwell Engineers [System Design Engineer, Construction & Installation]",," 7,985 ",
Midwest Dairy Institute Digester,,Farm Scale,Milbank,Grant,SD,Plug Flow - Unspecified,Operational,2007,Dairy,," 2,400 ",,,,," 2,792,250 ",Electricity; Cogeneration; Boiler/Furnace fuel,,,," 9,301 ",
Mooody County Dairy Digester,Brightmark Athena,Farm Scale,Sherman,Minnehaha,SD,Complete Mix,Operational,2022,Dairy,," 6,244 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],," 60,704 ",
Pioneer Dairy Digester,Brightmark Athena,Farm Scale,Baltic,Minnehaha,SD,Complete Mix,Operational,2022,Dairy,," 1,160 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],," 11,277 ",
Tri-Cross Dairy Digester,,Farm Scale,Viborg,Turner,SD,Complete Mix,Operational,2023,Dairy,," 5,000 ",,,,,,Pipeline Gas,,"Dynamic Group, LLC [Project Developer, System Designer]",," 48,610 ",
Victory Jersey Farm Digester,,Farm Scale,Revillo,Grant,SD,Complete Mix,Operational,2024,Dairy,," 6,000 ",,,,,,Pipeline Gas,,"Dynamic Group, LLC [Project Developer, System Designer, Construction & Installation]",," 58,332 ",
Broumley Dairy Farm Digester,,Farm Scale,Hico,Hamilton,TX,Mixed Plug Flow,Construction,,Dairy,," 3,712 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 40,991 ",
Del Rio Dairy Digester,,Farm Scale,Friona,Parmer,TX,Complete Mix,Operational,2023,Dairy,," 7,500 ",,,," 668,160 ",,CNG,Yes,"Montrose Environmental [Project Developer, System Design Engineer]",Atmos Pipeline," 73,693 ",
Etter Dairy Digester,GreenGasco,Farm Scale,Dumas,Moore,TX,Covered Lagoon,Operational,2020,Dairy,," 2,250 ",,,,,,Pipeline Gas,,,," 24,602 ",
Exum Dairy Digester,GreenGasco,Farm Scale,Dalhert,Hartley,TX,Covered Lagoon,Operational,2019,Dairy,," 32,500 ",,,," 2,000,000 ",,Pipeline Gas,,,," 355,364 ",
Full Circle Jerseys Dairy Digester,,Farm Scale,Dalhart,Dallam,TX,Covered Lagoon,Operational,2022,Dairy,," 5,200 ",,,,,,Pipeline Gas,,Maas Energy Works [Project Developer],," 56,858 ",
JBS Dalhart Digester,,Centralized/Regional,Dalhart,Dallam,TX,Covered Lagoon,Operational,2021,Swine,,,," 42,000 ",," 1,050,000 ",,CNG,,"Ally Energy Solutions [Project Developer]; Element Markets Renewable Energy, LLC [Project Developer]",," 74,888 ",
Kuiper Dairy Digester,,Farm Scale,Stephenville,Erath,TX,Mixed Plug Flow,Construction,,Dairy,,,,,,,,,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",,,
New Frontier Dairy Digester,,Farm Scale,Dublin,Erath,TX,Mixed Plug Flow,Construction,,Dairy,," 7,205 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 79,563 ",
Premium Standard - High Plains S-5 Digester,,Farm Scale,Dalhart,Dallam,TX,Covered Lagoon,Operational,2002,Swine,,,," 10,000 ",,,,Boiler/Furnace fuel,,"Environmental Fabrics, Inc. [System Designer, Construction & Installation, Biogas Membrane Supplier]",," 11,596 ",
Premium Standard - High Plains W-F Digester,,Farm Scale,Dalhart,Dallam,TX,Covered Lagoon,Operational,2001,Swine,,,," 108,000 ",,,,Boiler/Furnace fuel,,"Environmental Fabrics, Inc. [System Designer, Construction & Installation, Biogas Membrane Supplier]",," 125,241 ",
Seaboard Foods - Perryton Biogas Digesters,,,Perryton,Ochiltree,TX,Covered Lagoon,Construction,,Swine,,,," 180,000 ",,,,Pipeline Gas,,,," 204,841 ",
Seaboard Foods - Sunray Taylor Farms Digesters,,Multiple Farm/Facility,Sunray,Moore,TX,Covered Lagoon,Operational,2021,Swine,,,," 142,000 ",,,,CNG,Yes,,," 145,609 ",
South Fork Dairy Digester,,Farm Scale,Dimmit,Hart,TX,Complete Mix,Construction,,Dairy,,,,,,,,,,Clean Energy Fuels Corp. [Project Developer],,,
Still Meadow Dairy Digester,,Farm Scale,Como,Hopkins,TX,Mixed Plug Flow,Construction,,Dairy,," 4,628 ",,,,,,CNG,,,," 45,474 ",
Westside Dairy Digester,GreenGasco,Multiple Farm/Facility,Dumas,Moore,TX,Covered Lagoon,Operational,2020,Dairy,," 37,500 ",,,,,,Pipeline Gas,,,," 410,035 ",
Ballard Hog Farm Digester,,Farm Scale,Benson,Cache,UT,Induced Blanket Reactor,Operational,2002,Swine,,,, 650 ,,," 297,840 ",Cogeneration,,"Andigen [System Designer, System Design Engineer]; Utah State University [System Designer, System Design Engineer]",, 396 ,
Smithfield Hog Production/Align RNG - Milford Digesters,,Multiple Farm/Facility,Milford,Beaver,UT,Covered Lagoon,Operational,2020,Swine,,,," 239,200 ",," 623,000 ",,Pipeline Gas,Yes,Align RNG [Project Developer],Dominion Energy," 242,139 ",
Sunderland Dairy Digester,,Farm Scale,Chester,Sanpete,UT,Induced Blanket Reactor,Operational,2008,Dairy,, 750 ,,,,," 368,580 ",Electricity,,"Andigen [System Designer, System Design Engineer]; Conly Hansen [System Designer, System Design Engineer]; Utah State University [System Designer, System Design Engineer]",," 6,451 ",
Wadeland Dairy Digester,,Farm Scale,West Weber,Weber,UT,Induced Blanket Reactor,Operational,2004,Dairy,," 1,200 ",,,," 70,000 "," 823,440 ",Cogeneration,,"Andigen [System Designer, System Design Engineer]; U.S. Department of Agriculture (USDA) [System Designer]; U.S. Department of Energy (DOE) [System Designer]; Utah State University [System Designer, System Design Engineer]",PacifiCorp," 3,807 ",
